,1,2,3,4,5,6,7,8,9,10,11,12
N,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
char_cov,bin,bin,bin,bin,bin,bin,bin,bin,bin,bin,bin,bin
cor_input_AgD,0.2,0.9,0.2,0.9,0.2,0.9,0.2,0.9,0.2,0.9,0.2,0.9
cor_input_IPD,0.9,0.2,0.9,0.2,0.9,0.2,0.9,0.2,0.9,0.2,0.9,0.2
p1_AgD,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
p2_AgD,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
p1_IPD,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
p2_IPD,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
b_0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
b_1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
b_2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
b_trt_B,-0.45,-0.45,-0.1,-0.1,-0.45,-0.45,-0.1,-0.1,-0.45,-0.45,-0.1,-0.1
interaction_X2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
b_X2_trt,NA,NA,NA,NA,-0.1,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.3
