"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.00489231107776508,0.00463265537234711,0.0429254648097558,0.00136468973573741,0.207178646577955,0.00327660128142669,0.208796903281858,9.09837562604559e-05,0.9535,0.00470838348055891
"X2",-0.0143435556001695,0.00465109850540609,0.0434495394839297,0.00136370933634049,0.208003448562714,0.00328964580741826,0.211063445778633,0.000103692536843708,0.952,0.00477995815881269
"X3",-0.00712428179725879,0.00461128994662665,0.0425574813398749,0.00132607114518762,0.206223155692371,0.00326148986569052,0.205592122081118,7.76478980599712e-05,0.9425,0.00520546587732549
"X4",0.000267652266393136,0.00456334754981403,0.0416275292176627,0.00134093617377654,0.204079106526826,0.00322758099352003,0.207776654863051,9.16529596875112e-05,0.954,0.00468422885862764
"X5",-0.00102429609804705,0.0046406507472661,0.0430507922593412,0.00140198982517131,0.207536210614444,0.00328225627917623,0.210243173498953,9.88439381194016e-05,0.952,0.00477995815881269
"X6",-0.000779251032750784,0.00461536655974441,0.0425825225853052,0.00135355496026189,0.206405467373357,0.00326437318739092,0.212299457172456,0.000113252168164682,0.9545,0.00465992220965114
"X7",-0.000589450115552408,0.0046358102940574,0.0429603308793334,0.00135860875758575,0.207319738966113,0.00327883270588801,0.20606540782068,7.85967204835349e-05,0.953,0.00473238840333293
"X8",0.0064934252411744,0.00463333412007878,0.0429562669228669,0.0014359367632108,0.207209001099307,0.00327708134858226,0.208158568988968,9.04568025170277e-05,0.949,0.00491929873051028
"X9",-0.000289840898842008,0.00485568900067443,0.0471319376346166,0.00149819782552043,0.217153013662121,0.00343434931438867,0.21360112559143,0.000113210962289033,0.9495,0.00489641450451246
"X10",-0.0101415128117731,0.0048459668677823,0.0470461566545153,0.00155148533136529,0.216718226661459,0.00342747300900176,0.215859368753099,0.000131600046426487,0.9495,0.00489641450451246
"X11",-0.00354931039856396,0.00471801596307074,0.0445096871852582,0.00145777598497051,0.210996088247106,0.00333697542939761,0.207622203422254,8.34019234146162e-05,0.9445,0.00511955808639769
"X12",0.000257565020439891,0.00468424732141018,0.0438624701030486,0.00133139659083116,0.20948590868189,0.0033130914221396,0.209699956105517,0.000100337951000465,0.953,0.00473238840333293
